participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,status,survival_days,human_decision_days,episode_decision_seconds,avg_seconds_per_decision,decisions_per_minute,episode_wall_seconds,wall_decisions_per_minute,rows_saved_total,auto_policy,expert_output_path,meta_output_path
codex_humanlike1700_20260602_171035,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,episode_done,99,98,1.887,0.019,3116.086,2.712,2168.42,98,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_meta.csv
codex_humanlike1700_20260602_171035,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,1,episode_done,99,98,1.882,0.019,3124.054,2.616,2247.687,196,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_meta.csv
codex_humanlike1700_20260602_171035,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,2,episode_done,99,98,2.037,0.021,2886.108,2.732,2151.997,294,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_meta.csv
codex_humanlike1700_20260602_171035,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,3,episode_done,99,98,1.914,0.02,3071.461,2.614,2249.0,392,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_meta.csv
codex_humanlike1700_20260602_171035,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,4,episode_done,99,98,1.954,0.02,3009.297,2.654,2215.357,490,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_meta.csv
codex_humanlike1700_20260602_171035,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,5,episode_done,99,98,1.919,0.02,3063.38,2.57,2287.61,588,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_meta.csv
codex_humanlike1700_20260602_171035,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,6,episode_done,99,98,2.063,0.021,2850.098,2.719,2162.832,686,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_meta.csv
codex_humanlike1700_20260602_171035,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,7,episode_done,99,98,2.005,0.02,2932.176,2.644,2223.55,784,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_meta.csv
codex_humanlike1700_20260602_171035,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,8,episode_done,99,98,1.956,0.02,3006.178,2.554,2302.138,882,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_meta.csv
codex_humanlike1700_20260602_171035,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,9,episode_done,99,98,2.016,0.021,2915.972,2.662,2208.657,980,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_171035_20260602_171035_20e35739_meta.csv
