participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,status,survival_days,human_decision_days,episode_decision_seconds,avg_seconds_per_decision,decisions_per_minute,episode_wall_seconds,wall_decisions_per_minute,rows_saved_total,auto_policy,expert_output_path,meta_output_path
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,episode_done,99,98,1.961,0.02,2998.578,2.717,2163.787,98,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,1,episode_done,99,98,2.008,0.02,2928.765,2.694,2182.569,196,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,2,episode_done,99,98,1.881,0.019,3126.519,2.567,2290.336,294,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,3,episode_done,99,98,1.727,0.018,3405.115,2.39,2460.035,392,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,4,episode_done,99,98,1.988,0.02,2957.709,2.699,2178.933,490,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,5,episode_done,99,98,1.68,0.017,3500.245,2.381,2469.491,588,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,6,episode_done,99,98,1.653,0.017,3558.14,2.299,2557.584,686,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,7,episode_done,99,98,1.563,0.016,3762.418,2.253,2609.852,784,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,8,episode_done,99,98,1.69,0.017,3479.474,2.276,2583.251,882,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,9,episode_done,99,98,1.616,0.016,3638.898,2.238,2627.423,980,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,10,episode_done,99,98,1.741,0.018,3376.999,2.386,2464.339,1078,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,11,episode_done,99,98,1.605,0.016,3663.981,2.182,2694.299,1176,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
codex_humanlike1700_20260602_173314,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,12,episode_done,99,98,1.454,0.015,4043.198,2.085,2820.682,1274,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_173314_20260602_173314_9d626a29_meta.csv
