participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,status,survival_days,human_decision_days,episode_decision_seconds,avg_seconds_per_decision,decisions_per_minute,episode_wall_seconds,wall_decisions_per_minute,rows_saved_total,auto_policy,expert_output_path,meta_output_path
codex_humanlike1700_20260602_174459,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,episode_done,99,98,2.021,0.021,2910.008,2.757,2132.511,98,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_meta.csv
codex_humanlike1700_20260602_174459,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,1,episode_done,99,98,1.894,0.019,3104.487,2.549,2306.91,196,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_meta.csv
codex_humanlike1700_20260602_174459,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,2,episode_done,99,98,2.034,0.021,2890.269,2.684,2190.953,294,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_meta.csv
codex_humanlike1700_20260602_174459,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,3,episode_done,99,98,1.959,0.02,3001.26,2.624,2240.485,392,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_meta.csv
codex_humanlike1700_20260602_174459,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,4,episode_done,99,98,1.98,0.02,2969.596,2.59,2270.087,490,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_meta.csv
codex_humanlike1700_20260602_174459,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,5,episode_done,99,98,1.94,0.02,3031.557,2.541,2314.347,588,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_meta.csv
codex_humanlike1700_20260602_174459,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,6,episode_done,99,98,1.79,0.018,3284.762,2.464,2386.041,686,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_meta.csv
codex_humanlike1700_20260602_174459,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,7,episode_done,99,98,1.686,0.017,3488.447,2.31,2545.679,784,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_meta.csv
codex_humanlike1700_20260602_174459,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,8,episode_done,99,98,1.687,0.017,3485.353,2.33,2523.659,882,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_meta.csv
codex_humanlike1700_20260602_174459,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,9,episode_done,99,98,2.141,0.022,2746.678,2.725,2157.608,980,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260602_174459_20260602_174459_6f760957_meta.csv
