participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,1,td3,0.022,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,0.0,5.3356,5.3766,8.3264,-0.5,0.06712000000000007,0.07532000000000005,0.04079999999999995
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,2,td3,0.015,0.10638,0.1427,0.1,1.158,1.335,0.8,0.8326399999999999,0.0,0.0,0.0,0.05,0.53356,0.53766,0.8,0.534,0.8,0.538,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,0.8326399999999999,10.0,1.1999062299728394,10.0,0.0,5.8982,5.8582,8.8928,-0.5,0.10544268685808533,0.08957333630919173,0.06802459646425829
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,3,td3,0.027,0.09944,0.15319999999999998,0.1,1.2,1.305,0.8326399999999999,0.88928,0.0,0.0,0.0,0.05,0.58982,0.58582,0.8326399999999999,0.525,1.1999062299728394,0.522,0.0,0.0,0.0,0.0,0.8326399999999999,0.675,1.1999062299728394,0.615,0.0,0.0,0.0,0.0,0.88928,10.0,1.0784378324457293,10.0,0.0,5.9591,5.9659,9.3986,-0.5,0.01032518395442672,0.018384486702400116,0.056877473911479015
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,4,td3,0.023,0.11293,0.15184999999999998,0.1,1.276,1.2625,0.88928,0.93986,0.0,0.0,0.0,0.05,0.5959099999999999,0.5965900000000001,0.88928,0.505,1.0784378324457293,0.506,0.0,0.0,0.0,0.0,0.88928,0.771,1.0784378324457293,0.637,0.0,0.0,0.0,0.0,0.93986,10.0,1.130589641122412,10.0,0.0,5.814,5.8202,9.8207,-0.5,-0.02434931449379929,-0.02442213245277336,0.044910944183176316
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,5,td3,0.025,0.12025,0.1596,0.1,1.2850000000000001,1.3625,0.93986,0.98207,0.0,0.0,0.1,0.05,0.5814,0.58202,0.93986,0.545,1.130589641122412,0.546,0.0,0.0,0.0,0.0,0.93986,0.74,1.130589641122412,0.619,0.0,0.0,0.0,0.0,0.98207,10.0,1.2146343233172514,10.0,3.2589,5.428,5.4709,10.2823,-0.4728989604989605,-0.06639146886824909,-0.0600151197553348,0.04700275947743027
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,6,td3,0.025,0.02835,0.16465,1e-05,1.307,1.3575,0.98207,1.02823,0.0032588999999999973,1e-05,0.0,0.0,0.5428,0.5470900000000001,0.98207,0.5429999999999999,1.2146343233172514,0.5469999999999999,0.0,0.0,0.0,0.0,0.98207,0.764,1.2146343233172514,0.604,0.0,0.0,0.0,0.0,1.02823,10.0,1.3588627447308013,10.0,1.7791,5.3754,5.3993,11.1062,-0.43724514991181657,-0.009690493736182582,-0.013087426200442343,0.08012798692899459
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,7,td3,0.023,0.09506999999999999,0.10175,2e-05,0.924,0.295,1.02823,1.1106200000000002,0.0017791000000000003,1e-05,0.0,0.0,0.5375400000000001,0.53993,1.02823,0.118,1.3588627447308013,0.119,0.0,0.0,0.0,0.0,1.02823,0.806,1.3588627447308013,0.64,0.0,0.0,0.0,0.0,1.1106200000000002,10.0,1.433962833112988,10.0,0.0,5.4104,5.4401,11.2801,-0.5,0.006511143356773275,0.00755653510640264,0.01565792080099393
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,8,td3,0.023,0.09131,0.11264999999999999,2e-05,0.8210000000000001,0.93,1.1106200000000002,1.12801,0.0,0.0,0.0,0.0,0.54104,0.54401,1.1106200000000002,0.372,1.433962833112988,0.374,0.0,0.0,0.0,0.0,1.1106200000000002,0.449,1.433962833112988,0.395,0.0,0.0,0.0,0.0,1.12801,10.0,1.7530295370735645,10.0,0.0,5.6511,5.6815,12.0765,-0.5,0.04448839272512206,0.04437418429808271,0.0706022109733071
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,9,td3,0.025,0.09501000000000001,0.10735,2e-05,0.843,0.79,1.12801,1.2076500000000001,0.0,0.0,0.0,0.0,0.56511,0.5681499999999999,1.12801,0.316,1.7530295370735645,0.318,0.0,0.0,0.0,0.0,1.12801,0.5269999999999999,1.7530295370735645,0.47800000000000004,0.0,0.0,0.0,0.0,1.2076500000000001,10.0,2.0390437988902015,10.0,0.0,5.8504,5.8412,12.3762,-0.5,0.0352674700500788,0.028108774091349042,0.024816792944975852
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,10,td3,0.024,0.09742,0.09974999999999999,2e-05,0.806,0.73,1.2076500000000001,1.2376200000000002,0.0,0.0,1e-05,0.0,0.58504,0.58412,1.2076500000000001,0.29300000000000004,2.0390437988902015,0.292,0.0,0.0,0.0,0.0,1.2076500000000001,0.513,2.0390437988902015,0.502,0.0,0.0,0.0,0.0,1.2376200000000002,10.0,2.0657218161417013,10.0,0.0,6.0881,6.1599,13.1186,-0.5,0.04062970053329673,0.05456070670410207,0.05998610235775126
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,11,td3,0.006,0.09542,0.0959,1e-05,0.7710000000000001,0.7325,1.2376200000000002,1.3118600000000005,0.0,0.0,1e-05,0.0,0.60881,0.61599,1.2376200000000002,0.29300000000000004,2.0657218161417013,0.296,0.0,0.0,0.0,0.0,1.2376200000000002,0.47800000000000004,2.0657218161417013,0.534,0.0,0.0,0.0,0.0,1.3118600000000005,10.0,2.0780632709986078,10.0,0.0,5.9982,6.1093,13.3597,-0.5,-0.014766511719584097,-0.00821441906524456,0.01837848550912402
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,12,td3,0.015,0.09891,0.0901,0.0,0.7529999999999999,0.695,1.3118600000000005,1.3359699999999999,0.0,0.0,0.0,0.0,0.59982,0.61093,1.3118600000000005,0.27799999999999997,2.0780632709986078,0.28300000000000003,0.0,0.0,0.0,0.0,1.3118600000000005,0.475,2.0780632709986078,0.608,0.0,0.0,0.0,0.0,1.3359699999999999,10.0,2.1753782663818417,10.0,0.0,6.2158,6.241,13.911,-0.5,0.036277549931646114,0.021557297890101967,0.04126589668929692
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,13,td3,0.026,0.09942000000000001,0.08594999999999998,0.0,0.744,0.7025,1.3359699999999999,1.3910999999999998,0.0,0.0,0.0,0.0,0.62158,0.6241000000000001,1.3359699999999999,0.281,2.1753782663818417,0.282,0.0,0.0,0.0,0.0,1.3359699999999999,0.46299999999999997,2.1753782663818417,0.683,0.0,0.0,0.0,0.0,1.3910999999999998,10.0,2.2669788984598567,10.0,0.0,6.2563,6.2778,14.4556,-0.5,0.006515653656810061,0.005896490946963429,0.03914887499101449
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,14,td3,0.024,0.10342,0.0794,0.0,0.743,0.6775,1.3910999999999998,1.44556,0.0,0.0,0.0,0.0,0.6256299999999999,0.6277799999999999,1.3910999999999998,0.271,2.2669788984598567,0.272,0.0,0.0,0.0,0.0,1.3910999999999998,0.472,2.2669788984598567,0.772,0.0,0.0,0.0,0.0,1.44556,10.0,2.312546203229231,10.0,0.0,6.402,6.4212,14.977,-0.5,0.023288525166632157,0.022842397018063787,0.036069066659287774
