participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,status,survival_days,human_decision_days,episode_decision_seconds,avg_seconds_per_decision,decisions_per_minute,episode_wall_seconds,wall_decisions_per_minute,rows_saved_total,auto_policy,expert_output_path,meta_output_path
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,0,episode_done,99,98,1.871,0.019,3142.731,31.616,185.984,98,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_meta.csv
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,1,episode_done,99,98,1.398,0.014,4205.171,2.15,2734.997,196,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_meta.csv
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,2,episode_done,99,98,1.752,0.018,3356.701,2.589,2270.796,294,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_meta.csv
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,3,episode_done,99,98,1.791,0.018,3283.669,2.634,2232.184,392,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_meta.csv
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,4,episode_done,99,98,1.478,0.015,3977.78,2.293,2564.826,490,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_meta.csv
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,5,episode_done,99,98,1.697,0.017,3464.047,2.424,2425.292,588,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_meta.csv
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,6,episode_done,99,98,1.376,0.014,4272.29,2.379,2471.192,686,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_meta.csv
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,7,episode_done,99,98,1.264,0.013,4650.58,2.05,2867.728,784,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_meta.csv
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,8,episode_done,99,98,1.397,0.014,4209.947,2.093,2808.78,882,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_meta.csv
codex_humanlike1700_20260603_010048,20-40岁,硕士及以上,男,比较熟悉,经常接触,184,9,episode_done,99,98,1.335,0.014,4405.227,2.109,2788.406,980,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\codex_humanlike1700_20260603_010048_20260603_010048_8166d6f8_meta.csv
