participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,status,survival_days,human_decision_days,episode_decision_seconds,avg_seconds_per_decision,decisions_per_minute,episode_wall_seconds,wall_decisions_per_minute,rows_saved_total,auto_policy,expert_output_path,meta_output_path
SYN-GRAD-001,20-40岁,硕士及以上,男,学过一点,经常接触,184,0,episode_done,100,99,1136.754,11.482,5.225,1169.909,5.077,99,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-001_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-001_synthetic_meta.csv
SYN-GRAD-001,20-40岁,硕士及以上,男,学过一点,经常接触,184,1,episode_done,99,98,491.151,5.012,11.972,517.706,11.358,197,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-001_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-001_synthetic_meta.csv
SYN-GRAD-001,20-40岁,硕士及以上,男,学过一点,经常接触,184,2,episode_done,99,98,975.483,9.954,6.028,1002.46,5.866,295,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-001_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-001_synthetic_meta.csv
SYN-GRAD-001,20-40岁,硕士及以上,男,学过一点,经常接触,184,3,episode_done,99,98,765.454,7.811,7.682,794.018,7.405,393,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-001_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-001_synthetic_meta.csv
SYN-GRAD-001,20-40岁,硕士及以上,男,学过一点,经常接触,184,4,episode_done,99,98,1182.733,12.069,4.972,1215.827,4.836,491,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-001_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-001_synthetic_meta.csv
SYN-GRAD-002,20-40岁,硕士及以上,女,学过一点,经常接触,184,0,episode_done,100,99,932.365,9.418,6.371,956.217,6.212,99,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-002_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-002_synthetic_meta.csv
SYN-GRAD-002,20-40岁,硕士及以上,女,学过一点,经常接触,184,1,episode_done,99,98,811.885,8.285,7.242,840.684,6.994,197,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-002_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-002_synthetic_meta.csv
SYN-GRAD-002,20-40岁,硕士及以上,女,学过一点,经常接触,184,2,episode_done,99,98,777.397,7.933,7.564,790.601,7.437,295,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-002_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-002_synthetic_meta.csv
SYN-GRAD-002,20-40岁,硕士及以上,女,学过一点,经常接触,184,3,episode_done,99,98,925.38,9.443,6.354,962.915,6.106,393,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-002_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-002_synthetic_meta.csv
SYN-GRAD-002,20-40岁,硕士及以上,女,学过一点,经常接触,184,4,episode_done,99,98,477.362,4.871,12.318,489.829,12.004,491,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-002_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-002_synthetic_meta.csv
SYN-GRAD-003,20-40岁,硕士及以上,男,学过一点,经常接触,184,0,episode_done,100,99,692.497,6.995,8.578,724.956,8.194,99,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-003_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-003_synthetic_meta.csv
SYN-GRAD-003,20-40岁,硕士及以上,男,学过一点,经常接触,184,1,episode_done,99,98,854.526,8.72,6.881,894.545,6.573,197,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-003_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-003_synthetic_meta.csv
SYN-GRAD-003,20-40岁,硕士及以上,男,学过一点,经常接触,184,2,episode_done,99,98,1043.233,10.645,5.636,1065.436,5.519,295,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-003_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-003_synthetic_meta.csv
SYN-GRAD-003,20-40岁,硕士及以上,男,学过一点,经常接触,184,3,episode_done,99,98,1017.925,10.387,5.776,1064.318,5.525,393,td3,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-003_synthetic_expert.csv,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\human_collect_web_data\synthetic\SYN-GRAD-003_synthetic_meta.csv
