participant_id,synthetic_alias,participant_group,participant_age_group,age_detail,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,assigned_episodes,assigned_sample_rows,synthetic_record
SYN-GRAD-001,研究生01,研究生,20-40岁,20-30岁,硕士及以上,男,学过一点,经常接触,5,491,TRUE
SYN-GRAD-002,研究生02,研究生,20-40岁,20-30岁,硕士及以上,女,学过一点,经常接触,5,491,TRUE
SYN-GRAD-003,研究生03,研究生,20-40岁,20-30岁,硕士及以上,男,学过一点,经常接触,5,491,TRUE
SYN-GRAD-004,研究生04,研究生,20-40岁,20-30岁,硕士及以上,女,学过一点,经常接触,5,491,TRUE
SYN-GRAD-005,研究生05,研究生,20-40岁,20-30岁,硕士及以上,男,学过一点,经常接触,5,491,TRUE
SYN-GRAD-006,研究生06,研究生,20-40岁,20-30岁,硕士及以上,女,学过一点,经常接触,5,491,TRUE
SYN-GRAD-007,研究生07,研究生,20-40岁,20-30岁,硕士及以上,男,学过一点,经常接触,5,491,TRUE
SYN-GRAD-008,研究生08,研究生,20-40岁,20-30岁,硕士及以上,女,学过一点,经常接触,5,491,TRUE
SYN-GRAD-009,研究生09,研究生,20-40岁,20-30岁,硕士及以上,男,学过一点,经常接触,5,491,TRUE
SYN-GRAD-010,研究生10,研究生,20-40岁,20-30岁,硕士及以上,女,学过一点,经常接触,5,491,TRUE
SYN-GRAD-011,研究生11,研究生,20-40岁,20-30岁,硕士及以上,男,学过一点,经常接触,5,491,TRUE
SYN-GRAD-012,研究生12,研究生,20-40岁,20-30岁,硕士及以上,女,学过一点,经常接触,5,491,TRUE
SYN-GRAD-013,研究生13,研究生,20-40岁,20-30岁,硕士及以上,男,学过一点,经常接触,5,491,TRUE
SYN-GRAD-014,研究生14,研究生,20-40岁,20-30岁,硕士及以上,女,学过一点,经常接触,5,491,TRUE
SYN-GRAD-015,研究生15,研究生,20-40岁,20-30岁,硕士及以上,男,学过一点,经常接触,5,491,TRUE
SYN-GRAD-016,研究生16,研究生,20-40岁,20-30岁,硕士及以上,女,学过一点,经常接触,5,491,TRUE
SYN-GRAD-017,研究生17,研究生,20-40岁,20-30岁,硕士及以上,男,学过一点,经常接触,5,491,TRUE
SYN-GRAD-018,研究生18,研究生,20-40岁,20-30岁,硕士及以上,女,学过一点,经常接触,5,491,TRUE
SYN-GRAD-019,研究生19,研究生,20-40岁,20-30岁,硕士及以上,男,比较熟悉,经常接触,5,491,TRUE
SYN-GRAD-020,研究生20,研究生,20-40岁,20-30岁,硕士及以上,女,比较熟悉,经常接触,5,491,TRUE
SYN-GRAD-021,研究生21,研究生,20-40岁,20-30岁,硕士及以上,男,比较熟悉,经常接触,5,491,TRUE
SYN-GRAD-022,研究生22,研究生,20-40岁,20-30岁,硕士及以上,女,比较熟悉,经常接触,5,491,TRUE
SYN-GRAD-023,研究生23,研究生,20-40岁,20-30岁,硕士及以上,男,比较熟悉,经常接触,5,491,TRUE
SYN-GRAD-024,研究生24,研究生,20-40岁,20-30岁,硕士及以上,女,比较熟悉,经常接触,5,491,TRUE
SYN-GRAD-025,研究生25,研究生,20-40岁,20-30岁,硕士及以上,男,几乎没有,经常接触,5,491,TRUE
SYN-GRAD-026,研究生26,研究生,20-40岁,20-30岁,硕士及以上,女,几乎没有,经常接触,5,491,TRUE
SYN-GRAD-027,研究生27,研究生,20-40岁,20-30岁,硕士及以上,男,几乎没有,经常接触,5,491,TRUE
SYN-GRAD-028,研究生28,研究生,20-40岁,20-30岁,硕士及以上,女,几乎没有,经常接触,5,491,TRUE
SYN-GRAD-029,研究生29,研究生,20-40岁,20-30岁,硕士及以上,男,几乎没有,经常接触,5,491,TRUE
SYN-GRAD-030,研究生30,研究生,20-40岁,20-30岁,硕士及以上,女,几乎没有,经常接触,5,491,TRUE
SYN-GRAD-031,研究生31,研究生,20-40岁,20-30岁,硕士及以上,男,几乎没有,经常接触,5,491,TRUE
SYN-GRAD-032,研究生32,研究生,20-40岁,20-30岁,硕士及以上,女,几乎没有,经常接触,5,491,TRUE
SYN-GRAD-033,研究生33,研究生,20-40岁,20-30岁,硕士及以上,男,几乎没有,经常接触,5,491,TRUE
SYN-GRAD-034,研究生34,研究生,20-40岁,20-30岁,硕士及以上,女,几乎没有,经常接触,4,393,TRUE
SYN-GRAD-035,研究生35,研究生,20-40岁,20-30岁,硕士及以上,男,几乎没有,经常接触,4,393,TRUE
SYN-GRAD-036,研究生36,研究生,20-40岁,20-30岁,硕士及以上,女,几乎没有,经常接触,4,393,TRUE
SYN-GRAD-037,研究生37,研究生,20-40岁,20-30岁,硕士及以上,男,几乎没有,经常接触,4,393,TRUE
SYN-GRAD-038,研究生38,研究生,20-40岁,20-30岁,硕士及以上,女,几乎没有,经常接触,4,393,TRUE
SYN-GRAD-039,研究生39,研究生,20-40岁,20-30岁,硕士及以上,男,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-040,研究生40,研究生,20-40岁,20-30岁,硕士及以上,女,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-041,研究生41,研究生,20-40岁,20-30岁,硕士及以上,男,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-042,研究生42,研究生,20-40岁,20-30岁,硕士及以上,女,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-043,研究生43,研究生,20-40岁,20-30岁,硕士及以上,男,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-044,研究生44,研究生,20-40岁,20-30岁,硕士及以上,女,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-045,研究生45,研究生,20-40岁,31-40岁,硕士及以上,男,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-046,研究生46,研究生,20-40岁,31-40岁,硕士及以上,女,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-047,研究生47,研究生,20-40岁,31-40岁,硕士及以上,男,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-048,研究生48,研究生,20-40岁,31-40岁,硕士及以上,女,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-049,研究生49,研究生,20-40岁,31-40岁,硕士及以上,男,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-050,研究生50,研究生,20-40岁,31-40岁,硕士及以上,女,几乎没有,偶尔接触,4,393,TRUE
SYN-GRAD-051,研究生51,研究生,20-40岁,31-40岁,硕士及以上,男,几乎没有,几乎没有,4,393,TRUE
SYN-GRAD-052,研究生52,研究生,20-40岁,31-40岁,硕士及以上,女,几乎没有,几乎没有,4,393,TRUE
SYN-GRAD-053,研究生53,研究生,20-40岁,31-40岁,硕士及以上,男,几乎没有,几乎没有,4,393,TRUE
SYN-GRAD-054,研究生54,研究生,20-40岁,31-40岁,硕士及以上,女,几乎没有,几乎没有,4,393,TRUE
SYN-TEACHER-001,教师01,教师,20-40岁,30-40岁,硕士及以上,男,学过一点,偶尔接触,4,393,TRUE
SYN-TEACHER-002,教师02,教师,20-40岁,30-40岁,硕士及以上,女,学过一点,偶尔接触,4,393,TRUE
SYN-TEACHER-003,教师03,教师,40岁以上,41-50岁,硕士及以上,男,几乎没有,偶尔接触,4,393,TRUE
SYN-TEACHER-004,教师04,教师,40岁以上,41-50岁,硕士及以上,女,几乎没有,几乎没有,4,392,TRUE
SYN-PARENT-001,家长01,50岁以上家长,40岁以上,51-60岁,大专/本科,男,学过一点,偶尔接触,4,392,TRUE
SYN-PARENT-002,家长02,50岁以上家长,40岁以上,51-60岁,大专/本科,男,学过一点,偶尔接触,4,392,TRUE
SYN-PARENT-003,家长03,50岁以上家长,40岁以上,51-60岁,大专/本科,女,几乎没有,几乎没有,4,392,TRUE
SYN-PARENT-004,家长04,50岁以上家长,40岁以上,60岁以上,高中及以下,女,几乎没有,几乎没有,4,392,TRUE
SYN-PARENT-005,家长05,50岁以上家长,40岁以上,60岁以上,高中及以下,女,几乎没有,几乎没有,4,392,TRUE
